src,dst,add_st,mul_st
30,8,2.0,1.6666666666666667
30,9,1.0,1.25
30,10,2.0,1.6666666666666667
30,11,0.0,1.0
30,12,1.0,1.3333333333333333
30,13,1.0,1.25
30,14,1.0,1.25
30,15,1.0,1.3333333333333333
30,16,0.0,1.0
30,17,0.0,1.0
30,18,0.0,1.0
30,19,1.0,1.25
30,20,1.0,1.3333333333333333
30,21,0.0,1.0
30,22,0.0,1.0
30,23,0.0,1.0
30,24,0.0,1.0
30,25,1.0,1.2
30,26,3.0,2.5
30,27,1.0,1.25
30,28,1.0,1.25
30,29,2.0,1.5
30,31,1.0,1.25
30,32,1.0,1.25
31,1,1.0,1.3333333333333333
31,2,1.0,1.5
31,3,1.0,1.5
31,4,0.0,1.0
31,5,0.0,1.0
31,6,1.0,1.3333333333333333
31,7,1.0,1.3333333333333333
31,8,0.0,1.0
31,9,0.0,1.0
31,10,0.0,1.0
31,11,0.0,1.0
31,12,1.0,1.3333333333333333
31,13,1.0,1.3333333333333333
31,14,0.0,1.0
31,15,1.0,1.3333333333333333
31,16,0.0,1.0
31,17,1.0,1.3333333333333333
31,18,1.0,1.25
31,19,0.0,1.0
31,20,1.0,1.3333333333333333
31,21,1.0,1.3333333333333333
31,22,1.0,1.3333333333333333
31,23,1.0,1.25
31,24,0.0,1.0
31,25,0.0,1.0
31,26,0.0,1.0
31,27,1.0,1.3333333333333333
31,28,1.0,1.3333333333333333
31,29,0.0,1.0
31,30,1.0,1.25
31,32,1.0,1.3333333333333333
32,1,1.0,1.3333333333333333
32,2,0.0,1.0
32,3,2.0,2.0
32,4,1.0,1.3333333333333333
32,5,1.0,1.3333333333333333
32,6,1.0,1.3333333333333333
32,7,1.0,1.3333333333333333
32,8,0.0,1.0
32,9,0.0,1.0
32,10,0.0,1.0
32,11,0.0,1.0
32,12,1.0,1.3333333333333333
32,13,0.0,1.0
32,14,0.0,1.0
32,15,1.0,1.3333333333333333
32,16,0.0,1.0
32,17,0.0,1.0
32,18,1.0,1.25
32,19,0.0,1.0
32,20,2.0,1.6666666666666667
32,21,0.0,1.0
32,22,2.0,2.0
32,23,1.0,1.25
32,24,0.0,1.0
32,25,0.0,1.0
32,26,0.0,1.0
32,27,1.0,1.3333333333333333
32,28,0.0,1.0
32,29,0.0,1.0
32,30,1.0,1.25
32,31,1.0,1.3333333333333333
