src,dst,add_st,mul_st
13,15,0.0,1.0
13,16,0.0,1.0
13,17,2.0,2.0
13,18,2.0,1.6666666666666667
13,19,2.0,2.0
13,20,0.0,1.0
13,21,0.0,1.0
13,22,0.0,1.0
13,23,2.0,1.6666666666666667
14,1,1.0,1.3333333333333333
14,2,0.0,1.0
14,3,1.0,1.5
14,4,0.0,1.0
14,5,-1.0,0.8
14,6,0.0,1.0
14,7,0.0,1.0
14,8,-1.0,0.8333333333333334
14,9,0.0,1.0
14,10,2.0,1.6666666666666667
14,11,0.0,1.0
14,12,0.0,1.0
14,13,2.0,2.0
14,15,-1.0,0.8
14,16,1.0,1.25
14,17,1.0,1.3333333333333333
14,18,1.0,1.25
14,19,2.0,1.6666666666666667
14,20,0.0,1.0
14,21,1.0,1.3333333333333333
14,22,-1.0,0.8
14,23,1.0,1.25
15,1,0.0,1.0
15,2,-2.0,0.6
15,3,-2.0,0.6
15,4,0.0,1.0
15,5,-1.0,0.75
15,6,-2.0,0.6
15,7,0.0,1.0
15,8,1.0,1.3333333333333333
15,9,2.0,2.0
15,10,0.0,1.0
15,11,-1.0,0.8
15,12,0.0,1.0
15,13,0.0,1.0
15,14,-1.0,0.8
15,16,1.0,1.3333333333333333
15,17,1.0,1.3333333333333333
15,18,-1.0,0.8333333333333334
15,19,-1.0,0.8
15,20,1.0,1.5
15,21,-1.0,0.8
15,22,1.0,1.3333333333333333
15,23,0.0,1.0
16,1,2.0,2.0
16,2,0.0,1.0
16,3,0.0,1.0
16,4,2.0,2.0
16,5,2.0,2.0
16,6,-1.0,0.75
16,7,1.0,1.3333333333333333
16,8,1.0,1.3333333333333333
16,9,3.0,2.5
16,10,3.0,2.5
16,11,0.0,1.0
16,12,1.0,1.3333333333333333
16,13,0.0,1.0
16,14,1.0,1.25
16,15,1.0,1.3333333333333333
16,17,1.0,1.3333333333333333
16,18,1.0,1.25
16,19,0.0,1.0
16,20,0.0,1.0
16,21,0.0,1.0
16,22,0.0,1.0
16,23,0.0,1.0
17,1,1.0,1.3333333333333333
17,2,0.0,1.0
17,3,0.0,1.0
17,4,-1.0,0.75
17,5,0.0,1.0
17,6,1.0,1.3333333333333333
17,7,2.0,2.0
17,8,0.0,1.0
17,9,1.0,1.25
17,10,3.0,2.5
17,11,1.0,1.3333333333333333
17,12,1.0,1.3333333333333333
17,13,2.0,2.0
17,14,1.0,1.3333333333333333
17,15,1.0,1.3333333333333333
17,16,1.0,1.3333333333333333
17,18,1.0,1.25
17,19,2.0,1.6666666666666667
17,20,2.0,2.0
17,21,1.0,1.3333333333333333
17,22,1.0,1.3333333333333333
17,23,3.0,2.5
18,1,0.0,1.0
18,2,2.0,2.0
18,3,1.0,1.3333333333333333
18,4,2.0,1.6666666666666667
18,5,-1.0,0.8
18,6,0.0,1.0
18,7,1.0,1.3333333333333333
18,8,-1.0,0.8333333333333334
18,9,0.0,1.0
18,10,0.0,1.0
18,11,1.0,1.25
18,12,1.0,1.3333333333333333
18,13,2.0,1.6666666666666667
18,14,1.0,1.25
18,15,-1.0,0.8333333333333334
18,16,1.0,1.25
18,17,1.0,1.25
18,19,0.0,1.0
18,20,-1.0,0.8
18,21,3.0,2.5
18,22,1.0,1.25
18,23,2.0,1.6666666666666667
19,1,1.0,1.3333333333333333
19,2,1.0,1.3333333333333333
19,3,-1.0,0.75
19,4,0.0,1.0
19,5,-2.0,0.6
19,6,2.0,2.0
19,7,2.0,2.0
19,8,-2.0,0.6666666666666666
19,9,-1.0,0.8
19,10,0.0,1.0
19,11,-1.0,0.8
19,12,0.0,1.0
19,13,2.0,2.0
